COUNTRY,Country,Series,Pay period,TIME,Time,Unit Code,Value
ESP,Spain,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,8.45351511548505
ESP,Spain,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,8.46630896452136
ESP,Spain,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,8.55943233362088
ESP,Spain,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,8.66122618592239
ESP,Spain,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,9.17399852747802
ESP,Spain,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,9.38117598835241
ESP,Spain,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,11.3862329016416
ESP,Spain,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,12.0721411526942
ESP,Spain,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,11.7571544673001
ESP,Spain,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,11.3552539104474
FRA,France,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,13.5238822046141
FRA,France,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,13.5982492791249
FRA,France,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,13.7072581818651
FRA,France,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,13.767598590645
FRA,France,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,13.753757826226
FRA,France,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,13.6698576193912
FRA,France,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,13.7252847991065
FRA,France,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,13.8236261642623
FRA,France,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,13.81
FRA,France,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,13.82
JPN,Japan,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,7.35427849019748
JPN,Japan,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,7.30179607896496
JPN,Japan,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,7.39982133234355
JPN,Japan,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,7.59578014083554
JPN,Japan,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,7.79349578840926
JPN,Japan,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,7.95348529505536
JPN,Japan,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,8.15820126437971
JPN,Japan,In 2022 constant prices at 2022 USD PPPs,Hourly,2020,2020,USD,8.3471635844606
JPN,Japan,In 2022 constant prices at 2022 USD PPPs,Hourly,2021,2021,USD,8.44167726461587
JPN,Japan,In 2022 constant prices at 2022 USD PPPs,Hourly,2022,2022,USD,8.49439638869082
POL,Poland,In 2022 constant prices at 2022 USD PPPs,Hourly,2013,2013,USD,5.82421522213171
POL,Poland,In 2022 constant prices at 2022 USD PPPs,Hourly,2014,2014,USD,6.11213635118702
POL,Poland,In 2022 constant prices at 2022 USD PPPs,Hourly,2015,2015,USD,6.42295339667657
POL,Poland,In 2022 constant prices at 2022 USD PPPs,Hourly,2016,2016,USD,6.83541893711871
POL,Poland,In 2022 constant prices at 2022 USD PPPs,Hourly,2017,2017,USD,7.23935769515698
POL,Poland,In 2022 constant prices at 2022 USD PPPs,Hourly,2018,2018,USD,7.46597113927114
POL,Poland,In 2022 constant prices at 2022 USD PPPs,Hourly,2019,2019,USD,7.82495556502168
