"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T_GDPPOP","GDP per head of population","C","National currency, current prices","2013","2013","NATCUR","National currency","0","Units",,,69166.72792,,
"AUS","Australia","T_GDPPOP","GDP per head of population","C","National currency, current prices","2014","2014","NATCUR","National currency","0","Units",,,69209.139664,,
"AUS","Australia","T_GDPPOP","GDP per head of population","C","National currency, current prices","2015","2015","NATCUR","National currency","0","Units",,,69656.365469,,
"AUS","Australia","T_GDPPOP","GDP per head of population","C","National currency, current prices","2016","2016","NATCUR","National currency","0","Units",,,72728.918726,,
"AUS","Australia","T_GDPPOP","GDP per head of population","C","National currency, current prices","2017","2017","NATCUR","National currency","0","Units",,,74998.49558,,
"AUS","Australia","T_GDPPOP","GDP per head of population","C","National currency, current prices","2018","2018","NATCUR","National currency","0","Units",,,78106.029656,,
"AUS","Australia","T_GDPPOP","GDP per head of population","C","National currency, current prices","2019","2019","NATCUR","National currency","0","Units",,,78318.166392,,
"AUS","Australia","T_GDPPOP","GDP per head of population","C","National currency, current prices","2020","2020","NATCUR","National currency","0","Units",,,81421.811478,,
"AUS","Australia","T_GDPPOP","GDP per head of population","C","National currency, current prices","2021","2021","NATCUR","National currency","0","Units",,,90828.866284,,
"AUS","Australia","T_GDPPOP","GDP per head of population","C","National currency, current prices","2022","2022","NATCUR","National currency","0","Units",,,98523.547763,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2013","2013","NATCUR","National currency","0","Units",,,78.446735,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2014","2014","NATCUR","National currency","0","Units",,,78.325223,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2015","2015","NATCUR","National currency","0","Units",,,79.793424,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2016","2016","NATCUR","National currency","0","Units",,,82.50053,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2017","2017","NATCUR","National currency","0","Units",,,85.029001,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2018","2018","NATCUR","National currency","0","Units",,,87.9989,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2019","2019","NATCUR","National currency","0","Units",,,90.691376,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2020","2020","NATCUR","National currency","0","Units",,,95.133319,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2021","2021","NATCUR","National currency","0","Units",,,103.562564,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","C","National currency, current prices","2022","2022","NATCUR","National currency","0","Units",,,108.196844,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","C","National currency, current prices","2013","2013","NATCUR","National currency","0","Units",,,138461.58658,,
"AUS","Australia","T_GDPEMP","GDP per person employed","C","National currency, current prices","2014","2014","NATCUR","National currency","0","Units",,,137906.1364,,
"AUS","Australia","T_GDPEMP","GDP per person employed","C","National currency, current prices","2015","2015","NATCUR","National currency","0","Units",,,138245.24937,,
"AUS","Australia","T_GDPEMP","GDP per person employed","C","National currency, current prices","2016","2016","NATCUR","National currency","0","Units",,,143544.958,,
"AUS","Australia","T_GDPEMP","GDP per person employed","C","National currency, current prices","2017","2017","NATCUR","National currency","0","Units",,,146720.90184,,
"AUS","Australia","T_GDPEMP","GDP per person employed","C","National currency, current prices","2018","2018","NATCUR","National currency","0","Units",,,151573.82272,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","C","National currency, current prices","2019","2019","NATCUR","National currency","0","Units",,,153504.54659,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","C","National currency, current prices","2020","2020","NATCUR","National currency","0","Units",,,160726.13683,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","C","National currency, current prices","2021","2021","NATCUR","National currency","0","Units",,,173827.68622,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","C","National currency, current prices","2022","2022","NATCUR","National currency","0","Units",,,182948.48493,"E","Estimated value"
"AUS","Australia","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2013","2013","USD","US Dollar","0","Units",,,47796.022155,,
"AUS","Australia","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2014","2014","USD","US Dollar","0","Units",,,47648.633949,,
"AUS","Australia","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,47266.591703,,
"AUS","Australia","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,50152.476551,,
"AUS","Australia","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,50758.582308,,
"AUS","Australia","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,53118.792226,,
"AUS","Australia","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,53670.040055,,
"AUS","Australia","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,56892.076725,,
"AUS","Australia","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,64113.764311,,
"AUS","Australia","T_GDPPOP","GDP per head of population","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,71804.153777,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2013","2013","USD","US Dollar","0","Units",,,54.20875,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2014","2014","USD","US Dollar","0","Units",,,53.924813,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,54.145277,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,56.890793,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,57.547175,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,59.846792,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,62.14918,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,66.472754,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,73.102154,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,78.854071,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","CPC","USD, current prices, current PPPs","2013","2013","USD","US Dollar","0","Units",,,95680.586008,,
"AUS","Australia","T_GDPEMP","GDP per person employed","CPC","USD, current prices, current PPPs","2014","2014","USD","US Dollar","0","Units",,,94944.671246,,
"AUS","Australia","T_GDPEMP","GDP per person employed","CPC","USD, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,93808.824404,,
"AUS","Australia","T_GDPEMP","GDP per person employed","CPC","USD, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,98985.867883,,
"AUS","Australia","T_GDPEMP","GDP per person employed","CPC","USD, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,99299.924816,,
"AUS","Australia","T_GDPEMP","GDP per person employed","CPC","USD, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,103083.18617,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","CPC","USD, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,105193.92299,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","CPC","USD, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,112304.5968,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","CPC","USD, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,122700.49997,"E","Estimated value"
"AUS","Australia","T_GDPEMP","GDP per person employed","CPC","USD, current prices, current PPPs","2022","2022","USD","US Dollar","0","Units",,,133333.21265,"E","Estimated value"
"AUS","Australia","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,46336.110316,,
"AUS","Australia","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,46655.147578,,
"AUS","Australia","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,47266.591703,,
"AUS","Australia","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,47613.064706,,
"AUS","Australia","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,48193.413935,,
"AUS","Australia","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,48510.036489,,
"AUS","Australia","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,47634.872179,,
"AUS","Australia","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,48043.430285,,
"AUS","Australia","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,50030.41529,,
"AUS","Australia","T_GDPPOP","GDP per head of population","VPVOB","USD, constant prices, 2015 PPPs","2022","2022","USD","US Dollar","0","Units",,,50929.186647,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2013","2013","USD","US Dollar","0","Units",,,52.552964,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2014","2014","USD","US Dollar","0","Units",,,52.800466,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2015","2015","USD","US Dollar","0","Units",,,54.145277,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2016","2016","USD","US Dollar","0","Units",,,54.010195,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2017","2017","USD","US Dollar","0","Units",,,54.638934,,
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2018","2018","USD","US Dollar","0","Units",,,54.654293,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2019","2019","USD","US Dollar","0","Units",,,55.160537,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2020","2020","USD","US Dollar","0","Units",,,56.133988,"E","Estimated value"
"AUS","Australia","T_GDPHRS","GDP per hour worked","VPVOB","USD, constant prices, 2015 PPPs","2021","2021","USD","US Dollar","0","Units",,,57.044399,"E","Estimated value"
